Date,Country,Continent,Population,Weekly_New_Cases,Weekly_New_Deaths,Cumulative_Cases,Cumulative_Deaths,Cases_Per_Million,Deaths_Per_Million,Case_Fatality_Rate_Pct,Vaccinated_Pct,Recovery_Rate_Pct
2020-01-05,India,Asia,1380000000,12311,251,12311,251,8.92,0.18,2.039,0.0,97.96
2020-01-12,India,Asia,1380000000,10924,116,23235,367,16.84,0.27,1.58,0.0,98.42
2020-01-19,India,Asia,1380000000,8672,77,31907,444,23.12,0.32,1.392,0.0,98.61
2020-01-26,India,Asia,1380000000,14065,256,45972,700,33.31,0.51,1.523,0.0,98.48
2020-02-02,India,Asia,1380000000,13636,113,59608,813,43.19,0.59,1.364,0.0,98.64
2020-02-09,India,Asia,1380000000,16281,360,75889,1173,54.99,0.85,1.546,0.0,98.45
2020-02-16,India,Asia,1380000000,10974,121,86863,1294,62.94,0.94,1.49,0.0,98.51
2020-02-23,India,Asia,1380000000,11187,147,98050,1441,71.05,1.04,1.47,0.0,98.53
2020-03-01,India,Asia,1380000000,14554,223,112604,1664,81.6,1.21,1.478,0.0,98.52
2020-03-08,India,Asia,1380000000,12992,239,125596,1903,91.01,1.38,1.515,0.0,98.48
2020-03-15,India,Asia,1380000000,12025,155,137621,2058,99.73,1.49,1.495,0.0,98.5
2020-03-22,India,Asia,1380000000,14547,229,152168,2287,110.27,1.66,1.503,0.0,98.5
2020-03-29,India,Asia,1380000000,19047,217,171215,2504,124.07,1.81,1.462,0.0,98.54
2020-04-05,India,Asia,1380000000,16832,304,188047,2808,136.27,2.03,1.493,0.0,98.51
2020-04-12,India,Asia,1380000000,12440,228,200487,3036,145.28,2.2,1.514,0.0,98.49
2020-04-19,India,Asia,1380000000,14014,127,214501,3163,155.44,2.29,1.475,0.0,98.53
2020-04-26,India,Asia,1380000000,22616,552,237117,3715,171.82,2.69,1.567,0.0,98.43
2020-05-03,India,Asia,1380000000,21497,283,258614,3998,187.4,2.9,1.546,0.0,98.45
2020-05-10,India,Asia,1380000000,13985,274,272599,4272,197.54,3.1,1.567,0.0,98.43
2020-05-17,India,Asia,1380000000,18029,181,290628,4453,210.6,3.23,1.532,0.0,98.47
2020-05-24,India,Asia,1380000000,18883,162,309511,4615,224.28,3.34,1.491,0.0,98.51
2020-05-31,India,Asia,1380000000,23846,295,333357,4910,241.56,3.56,1.473,0.0,98.53
2020-06-07,India,Asia,1380000000,21204,281,354561,5191,256.93,3.76,1.464,0.0,98.54
2020-06-14,India,Asia,1380000000,19698,340,374259,5531,271.2,4.01,1.478,0.0,98.52
2020-06-21,India,Asia,1380000000,15875,388,390134,5919,282.71,4.29,1.517,0.0,98.48
2020-06-28,India,Asia,1380000000,22902,548,413036,6467,299.3,4.69,1.566,0.0,98.43
2020-07-05,India,Asia,1380000000,24372,442,437408,6909,316.96,5.01,1.58,0.0,98.42
2020-07-12,India,Asia,1380000000,24710,234,462118,7143,334.87,5.18,1.546,0.0,98.45
2020-07-19,India,Asia,1380000000,16107,141,478225,7284,346.54,5.28,1.523,0.0,98.48
2020-07-26,India,Asia,1380000000,17589,256,495814,7540,359.29,5.46,1.521,0.0,98.48
2020-08-02,India,Asia,1380000000,16879,372,512693,7912,371.52,5.73,1.543,0.0,98.46
2020-08-09,India,Asia,1380000000,17773,227,530466,8139,384.4,5.9,1.534,0.0,98.47
2020-08-16,India,Asia,1380000000,19786,205,550252,8344,398.73,6.05,1.516,0.0,98.48
2020-08-23,India,Asia,1380000000,22571,209,572823,8553,415.09,6.2,1.493,0.0,98.51
2020-08-30,India,Asia,1380000000,24406,515,597229,9068,432.77,6.57,1.518,0.0,98.48
2020-09-06,India,Asia,1380000000,15268,123,612497,9191,443.84,6.66,1.501,0.0,98.5
2020-09-13,India,Asia,1380000000,21827,436,634324,9627,459.66,6.98,1.518,0.0,98.48
2020-09-20,India,Asia,1380000000,20516,433,654840,10060,474.52,7.29,1.536,0.0,98.46
2020-09-27,India,Asia,1380000000,13169,185,668009,10245,484.06,7.42,1.534,0.0,98.47
2020-10-04,India,Asia,1380000000,13322,302,681331,10547,493.72,7.64,1.548,0.0,98.45
2020-10-11,India,Asia,1380000000,18154,247,699485,10794,506.87,7.82,1.543,0.0,98.46
2020-10-18,India,Asia,1380000000,12153,161,711638,10955,515.68,7.94,1.539,0.0,98.46
2020-10-25,India,Asia,1380000000,14320,292,725958,11247,526.06,8.15,1.549,0.0,98.45
2020-11-01,India,Asia,1380000000,16782,387,742740,11634,538.22,8.43,1.566,0.0,98.43
2020-11-08,India,Asia,1380000000,14730,147,757470,11781,548.89,8.54,1.555,0.0,98.44
2020-11-15,India,Asia,1380000000,16277,340,773747,12121,560.69,8.78,1.567,0.0,98.43
